age,industry,title,annual_salary,bonus_salary,currency,country,state,city,overall_experience,field_experience,education,gender,fixed_country,exchange_rate,annual_salary_usd,bonus_salary_usd,total_salary_usd
25-34,Education (Higher Education),Research and Instruction Librarian,55000.0,0.0,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,55000.0,0.0,55000.0
25-34,"Accounting, Banking & Finance",Marketing Specialist,34000.0,0.0,USD,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,34000.0,0.0,0.0
25-34,Nonprofits,Program Manager,62000.0,3000.0,USD,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,62000.0,3000.0,65000.0
25-34,"Accounting, Banking & Finance",Accounting Manager,60000.0,7000.0,USD,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,60000.0,7000.0,67000.0
25-34,Education (Higher Education),Scholarly Publishing Librarian,62000.0,0.0,USD,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,united states,1.0,62000.0,0.0,0.0
25-34,Publishing,Publishing Assistant,33000.0,2000.0,USD,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,33000.0,2000.0,35000.0
25-34,Education (Primary/Secondary),Librarian,50000.0,0.0,USD,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,united states,1.0,50000.0,0.0,0.0
45-54,Computing or Tech,Systems Analyst,112000.0,10000.0,USD,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,112000.0,10000.0,122000.0
35-44,"Accounting, Banking & Finance",Senior Accountant,45000.0,0.0,USD,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,45000.0,0.0,45000.0
25-34,Nonprofits,Office Manager,47500.0,0.0,USD,United States,,"Boston, MA",5-7 years,5-7 years,College degree,Woman,united states,1.0,47500.0,0.0,47500.0
35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000.0,0.0,USD,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,united states,1.0,62000.0,0.0,62000.0
35-44,"Accounting, Banking & Finance",Manager of Information Services,100000.0,0.0,USD,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,100000.0,0.0,100000.0
25-34,Law,Legal Aid Staff Attorney,52000.0,0.0,USD,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,,Woman,united states,1.0,52000.0,0.0,52000.0
18-24,Health care,Patient care coordinator,32000.0,0.0,CAD,Canada,,Remote,1 year or less,1 year or less,College degree,Woman,canada,0.750496,24015.872000000003,0.0,0.0
35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000.0,500.0,GBP,United Kingdom ,,Lincoln,11 - 20 years,5-7 years,College degree,Man,united kingdom,1.19112,28586.879999999997,595.56,29182.44
35-44,Business or Consulting,Executive Assistant,85000.0,5000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,united states,1.0,85000.0,5000.0,90000.0
45-54,Art & Design,graphic designer,59000.0,0.0,USD,usa,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,59000.0,0.0,0.0
35-44,Business or Consulting,Senior Manager,98000.0,1000.0,USD,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,united states,1.0,98000.0,1000.0,99000.0
35-44,Education (Higher Education),Assistant Director of Academic Advising,54000.0,0.0,USD,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,54000.0,0.0,0.0
25-34,Health care,Data Programmer Analyst,74000.0,0.0,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,74000.0,0.0,74000.0
35-44,Nonprofits,Program Coordinator & Assistant Editor ,50000.0,0.0,USD,United States,,Atlanta,5-7 years,2 - 4 years,PhD,Woman,united states,1.0,50000.0,0.0,0.0
35-44,Nonprofits,Event Planner,63000.0,0.0,CAD,Canada,,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,canada,0.750496,47281.24800000001,0.0,0.0
35-44,Government and Public Administration,Researcher,96000.0,1000.0,USD,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,united states,1.0,96000.0,1000.0,97000.0
25-34,Public Library,Teen Librarian ,44500.0,0.0,USD,US,Florida,Bradenton,5-7 years,2 - 4 years,,Woman,united states,1.0,44500.0,0.0,44500.0
35-44,Education (Higher Education),Communications Specialist,60000.0,0.0,USD,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,united states,1.0,60000.0,0.0,60000.0
25-34,Nonprofits,Program Director,62000.0,0.0,USD,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,united states,1.0,62000.0,0.0,0.0
35-44,Law,Bookkeeper/Billing Manager,48000.0,4000.0,USD,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,united states,1.0,48000.0,4000.0,52000.0
35-44,Government and Public Administration,Economist,140000.0,0.0,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,140000.0,0.0,0.0
25-34,Engineering or Manufacturing,Research Engineer,80000.0,0.0,USD,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,united states,1.0,80000.0,0.0,0.0
25-34,Nonprofits,Volunteer and Giving Coordinator,39000.0,0.0,USD,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,39000.0,0.0,0.0
35-44,Media & Digital,Editor,125000.0,0.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,125000.0,0.0,125000.0
35-44,"Accounting, Banking & Finance",Accounting Manager,110000.0,15000.0,USD,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,110000.0,15000.0,125000.0
25-34,Nonprofits,Administrative and HR Manager,50000.0,0.0,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,50000.0,0.0,0.0
35-44,Education (Higher Education),Senior IRB Analyst,68000.0,0.0,USD,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,united states,1.0,68000.0,0.0,68000.0
18-24,Media & Digital,Reporter,41000.0,100.0,USD,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,41000.0,100.0,41100.0
25-34,"Accounting, Banking & Finance",Senior Administrator ,76000.0,10000.0,USD,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,76000.0,10000.0,86000.0
35-44,Government and Public Administration,Staff Services Manager II,78000.0,0.0,USD,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,78000.0,0.0,78000.0
25-34,"Accounting, Banking & Finance",Receptionist,37000.0,0.0,USD,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,37000.0,0.0,37000.0
45-54,Engineering or Manufacturing,Lead Engineer,100000.0,50000.0,USD,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,100000.0,50000.0,150000.0
35-44,"Marketing, Advertising & PR",Senior Copywriter,35000.0,6000.0,GBP,UK,,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,united kingdom,1.19112,41689.2,7146.719999999999,48835.92
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000.0,0.0,USD,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,united states,1.0,65000.0,0.0,65000.0
25-34,Computing or Tech,Principal Software Engineer,187500.0,5000.0,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,187500.0,5000.0,192500.0
25-34,Computing or Tech,Intelligence Analyst,110000.0,20000.0,USD,USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,united states,1.0,110000.0,20000.0,130000.0
25-34,Nonprofits,Project Manager,66625.0,1500.0,USD,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,united states,1.0,66625.0,1500.0,68125.0
35-44,Computing or Tech,Mobile developer,144600.0,2500.0,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,united states,1.0,144600.0,2500.0,147100.0
25-34,Engineering or Manufacturing,Engineering specialist,120000.0,1500.0,CAD,Canada,,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,canada,0.750496,90059.52,1125.7440000000001,91185.26400000001
25-34,Retail,"Manager, Total Rewards",97500.0,10000.0,CAD,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,canada,0.750496,73173.36,7504.960000000001,80678.32
35-44,Education (Higher Education),Research and Development Engineer 3,96000.0,0.0,USD,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,united states,1.0,96000.0,0.0,0.0
25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000.0,1000.0,USD,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,united states,1.0,53000.0,1000.0,54000.0
25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000.0,10000.0,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,united states,1.0,95000.0,10000.0,105000.0
35-44,Computing or Tech,Managed Services Sales Coordinator,72000.0,3000.0,USD,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,united states,1.0,72000.0,3000.0,75000.0
35-44,Media & Digital,Editor,52000.0,0.0,CAD,Canada,,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,canada,0.750496,39025.792,0.0,39025.792
35-44,Engineering or Manufacturing,Water Resources Engineer,106000.0,0.0,USD,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,united states,1.0,106000.0,0.0,106000.0
25-34,Government and Public Administration,Program Officer,115000.0,0.0,USD,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,united states,1.0,115000.0,0.0,0.0
25-34,Business or Consulting,Account Supervisor,100500.0,3000.0,USD,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,united states,1.0,100500.0,3000.0,103500.0
25-34,Law,Legal Secretary,33200.0,0.0,USD,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,united states,1.0,33200.0,0.0,33200.0
35-44,Government and Public Administration,Policy Lead,52000.0,0.0,GBP,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,united kingdom,1.19112,61938.24,0.0,61938.24
25-34,Education (Higher Education),Coordinator,52000.0,0.0,USD,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,united states,1.0,52000.0,0.0,0.0
25-34,Government and Public Administration,Senior Advisor,79000.0,0.0,CAD,Canada,,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,canada,0.750496,59289.184,0.0,0.0
25-34,Education (Primary/Secondary),Secondary School Educator,75000.0,0.0,CAD,Canada,,Ottawa,5-7 years,2 - 4 years,College degree,Woman,canada,0.750496,56287.200000000004,0.0,0.0
18-24,Biotechnology,Downstream Process Development Research Associate I,52000.0,0.0,USD,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,52000.0,0.0,0.0
25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000.0,8400.0,USD,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,84000.0,8400.0,92400.0
35-44,Health care,AR Manager,53000.0,0.0,USD,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,united states,1.0,53000.0,0.0,53000.0
25-34,Computing or Tech,Technical specialist,34000.0,2000.0,USD,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,united states,1.0,34000.0,2000.0,36000.0
25-34,Nonprofits,Programming Coordinator,38000.0,0.0,USD,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,united states,1.0,38000.0,0.0,0.0
25-34,Government and Public Administration,City Research Scientist II,87000.0,0.0,USD,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,united states,1.0,87000.0,0.0,87000.0
